Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.08      6.68     6.68 645934982     0.00     0.00  b2Vec2::b2Vec2(float, float)
  0.03     30.17     0.01                             b2DistanceProxy::GetVertex(int) const
  0.03     30.18     0.01                             b2SeparationFunction::FindMinSeparation(int*, int*, float) const
  0.03     30.19     0.01                             b2Contact::GetWorldManifold(b2WorldManifold*) const
  0.03     30.20     0.01                             b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const
  0.03     30.21     0.01                             b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&))
  0.02     30.21     0.01  4035612     0.00     0.00  b2Body::GetTransform() const
  0.02     30.22     0.01      643     0.01     0.01  b2BodyDef::b2BodyDef()
  0.02     30.23     0.01                             b2PairLessThan(b2Pair const&, b2Pair const&)
  0.02     30.23     0.01                             b2MotorJoint::~b2MotorJoint()
  0.02     30.23     0.01                             b2ReferenceFace::b2ReferenceFace()
  0.02     30.24     0.01                             b2PolygonContact::b2PolygonContact(b2Fixture*, b2Fixture*)
  0.02     30.25     0.01                             b2Sweep::b2Sweep()
  0.02     30.25     0.01                             b2AABB::RayCast(b2RayCastOutput*, b2RayCastInput const&) const
  0.02     30.25     0.01                             b2Vec2::IsValid() const
  0.02     30.26     0.01                             b2World::IsLocked() const
  0.02     30.27     0.01                             b2Contact::IsTouching() const
  0.02     30.27     0.01                             b2Contact::GetChildIndexA() const
  0.02     30.27     0.01                             b2Contact::GetChildIndexB() const
  0.02     30.28     0.01                             std::__lg(int)
  0.00     30.28     0.00  1331033     0.00     0.00  b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*)
  0.00     30.28     0.00  1044735     0.00     0.00  b2AABB::b2AABB()
  0.00     30.28     0.00   655000     0.00     0.00  b2Color::b2Color(float, float, float)
  0.00     30.28     0.00   491212     0.00     0.00  b2Body::SetAwake(bool)
  0.00     30.28     0.00    40000     0.00     0.00  debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&)
  0.00     30.28     0.00     4675     0.00     0.00  b2ContactListener::BeginContact(b2Contact*)
  0.00     30.28     0.00     2848     0.00     0.00  b2ContactListener::EndContact(b2Contact*)
  0.00     30.28     0.00     2048     0.00     0.00  cs296::contact_point_t::contact_point_t()
  0.00     30.28     0.00     2000     0.00     0.00  debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&)
  0.00     30.28     0.00     2000     0.00     0.00  b2World::GetProfile() const
  0.00     30.28     0.00     1000     0.00     0.00  cs296::base_sim_t::step(cs296::settings_t*)
  0.00     30.28     0.00     1000     0.00     0.00  b2World::SetSubStepping(bool)
  0.00     30.28     0.00     1000     0.00     0.00  b2World::SetWarmStarting(bool)
  0.00     30.28     0.00     1000     0.00     0.00  b2World::SetContinuousPhysics(bool)
  0.00     30.28     0.00      665     0.00     0.00  b2Shape::b2Shape()
  0.00     30.28     0.00      661     0.00     0.00  b2Filter::b2Filter()
  0.00     30.28     0.00      659     0.00     0.00  b2PolygonShape::b2PolygonShape()
  0.00     30.28     0.00       19     0.00     0.00  b2FixtureDef::b2FixtureDef()
  0.00     30.28     0.00       19     0.00     0.00  b2Shape::~b2Shape()
  0.00     30.28     0.00       16     0.00     0.00  b2PolygonShape::~b2PolygonShape()
  0.00     30.28     0.00       13     0.00     0.00  b2JointDef::b2JointDef()
  0.00     30.28     0.00        7     0.00     0.00  b2RevoluteJointDef::b2RevoluteJointDef()
  0.00     30.28     0.00        6     0.00     0.00  b2WeldJointDef::b2WeldJointDef()
  0.00     30.28     0.00        4     0.00     0.00  b2CircleShape::b2CircleShape()
  0.00     30.28     0.00        2     0.00     0.00  b2EdgeShape::b2EdgeShape()
  0.00     30.28     0.00        2     0.00     0.00  b2CircleShape::~b2CircleShape()
  0.00     30.28     0.00        2     0.00     0.00  b2ContactListener::b2ContactListener()
  0.00     30.28     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     30.28     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     30.28     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     30.28     0.00        1     0.00     0.00  b2EdgeShape::~b2EdgeShape()
  0.00     30.28     0.00        1     0.00     0.00  debug_draw_t::debug_draw_t()
  0.00     30.28     0.00        1     0.00     0.00  cs296::base_sim_t::get_world()
  0.00     30.28     0.00        1     0.00     0.02  cs296::base_sim_t::base_sim_t()
  0.00     30.28     0.00        1     0.00     0.00  cs296::settings_t::settings_t()
  0.00     30.28     0.00        1     0.00     0.00  cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)())
  0.00     30.28     0.00        1     0.00     5.04  cs296::dominos_t::create()
  0.00     30.28     0.00        1     0.00     5.04  cs296::dominos_t::dominos_t()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.03% of 30.28 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     31.9    2.97    6.70                 b2ContactSolver::SolveVelocityConstraints() [1]
                1.10    1.02 99039932/144091499     operator*(float, b2Vec2 const&) [4]
                0.92    0.90 86531491/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.68    0.58 56447126/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.91    0.00 77743404/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.44    0.00 30084115/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.09    0.00 8787712/645934982     b2Vec2::b2Vec2(float, float) [2]
                0.03    0.00 8787712/87621152     b2Vec2::b2Vec2() [26]
                0.02    0.00 1860552/35556446     float b2Max<float>(float, float) [27]
-----------------------------------------------
                0.00    0.00       1/645934982     cs296::settings_t::settings_t() [187]
                0.00    0.00       1/645934982     __static_initialization_and_destruction_0(int, int) [188]
                0.00    0.00       1/645934982     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [180]
                0.00    0.00       2/645934982     cs296::dominos_t::dominos_t() [115]
                0.00    0.00       6/645934982     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00      43/645934982     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [79]
                0.00    0.00     637/645934982     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00     642/645934982     b2DynamicTree::CreateProxy(b2AABB const&, void*) [159]
                0.00    0.00    2000/645934982     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [46]
                0.00    0.00    2010/645934982     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [146]
                0.00    0.00    3438/645934982     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [149]
                0.00    0.00    6000/645934982     b2WeldJoint::InitVelocityConstraints(b2SolverData const&) [142]
                0.00    0.00    7000/645934982     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [140]
                0.00    0.00   18000/645934982     b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [85]
                0.00    0.00   31826/645934982     b2EPCollider::ComputePolygonSeparation() [107]
                0.00    0.00   48000/645934982     b2WeldJoint::SolveVelocityConstraints(b2SolverData const&) [111]
                0.00    0.00   64000/645934982     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [130]
                0.01    0.00  922535/645934982     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [42]
                0.03    0.00 2613497/645934982     b2MulT(b2Transform const&, b2Vec2 const&) [51]
                0.04    0.00 3438027/645934982     b2Min(b2Vec2 const&, b2Vec2 const&) [33]
                0.04    0.00 3438027/645934982     b2Max(b2Vec2 const&, b2Vec2 const&) [35]
                0.05    0.00 4769667/645934982     b2MulT(b2Rot const&, b2Vec2 const&) [39]
                0.09    0.00 8787712/645934982     b2ContactSolver::SolveVelocityConstraints() [1]
                0.18    0.00 17315273/645934982     b2Cross(b2Vec2 const&, float) [30]
                0.18    0.00 17575424/645934982     b2Mul(b2Mat22 const&, b2Vec2 const&) [22]
                0.43    0.00 41728401/645934982     b2Mul(b2Rot const&, b2Vec2 const&) [12]
                0.44    0.00 42641793/645934982     b2Mul(b2Transform const&, b2Vec2 const&) [10]
                0.73    0.00 70884126/645934982     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.86    0.00 83253341/645934982     b2Cross(float, b2Vec2 const&) [8]
                1.49    0.00 144091499/645934982     operator*(float, b2Vec2 const&) [4]
                2.11    0.00 204292053/645934982     operator-(b2Vec2 const&, b2Vec2 const&) [3]
[2]     22.1    6.68    0.00 645934982         b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00       1/204292053     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [180]
                0.00    0.00      44/204292053     b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [174]
                0.00    0.00      52/204292053     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00     190/204292053     b2PolygonShape::Set(b2Vec2 const*, int) [171]
                0.00    0.00     288/204292053     b2Simplex::GetMetric() const [170]
                0.00    0.00     543/204292053     b2SeparationFunction::Evaluate(int, int, float) const [168]
                0.00    0.00     639/204292053     b2Body::ResetMassData() [151]
                0.00    0.00     642/204292053     b2DynamicTree::CreateProxy(b2AABB const&, void*) [159]
                0.00    0.00    2992/204292053     b2Sweep::Advance(float) [153]
                0.00    0.00    2992/204292053     b2Body::Advance(float) [156]
                0.00    0.00    3438/204292053     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [149]
                0.00    0.00    5100/204292053     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00   10050/204292053     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [146]
                0.00    0.00   12000/204292053     b2WeldJoint::InitVelocityConstraints(b2SolverData const&) [142]
                0.00    0.00   14000/204292053     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [140]
                0.00    0.00   35136/204292053     b2ContactSolver::SolveTOIPositionConstraints(int, int) [134]
                0.00    0.00   57808/204292053     b2SeparationFunction::FindMinSeparation(int*, int*, float) const [87]
                0.00    0.00   60556/204292053     b2Simplex::Solve2() [138]
                0.00    0.00   62029/204292053     b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [137]
                0.00    0.00   72000/204292053     b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [85]
                0.00    0.00   84000/204292053     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [84]
                0.00    0.00   96000/204292053     b2WeldJoint::SolveVelocityConstraints(b2SolverData const&) [111]
                0.00    0.00  112000/204292053     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [79]
                0.00    0.00  115236/204292053     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [128]
                0.00    0.00  122441/204292053     b2Distance(b2Vec2 const&, b2Vec2 const&) [132]
                0.00    0.00  129888/204292053     b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [66]
                0.00    0.00  132472/204292053     b2EPCollider::ComputeEdgeSeparation() [131]
                0.00    0.00  145660/204292053     b2Simplex::GetSearchDirection() const [129]
                0.00    0.00  204743/204292053     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [63]
                0.00    0.00  255744/204292053     b2Simplex::Solve3() [108]
                0.00    0.00  381912/204292053     b2EPCollider::ComputePolygonSeparation() [107]
                0.00    0.00  462958/204292053     b2Body::SynchronizeFixtures() [105]
                0.00    0.00  462958/204292053     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [56]
                0.01    0.00  469224/204292053     b2Body::SynchronizeTransform() [104]
                0.01    0.01  588906/204292053     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [41]
                0.01    0.01  922535/204292053     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [42]
                0.01    0.01 1297236/204292053     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [25]
                0.03    0.03 3005137/204292053     b2MulT(b2Transform const&, b2Transform const&) [45]
                0.04    0.04 3940854/204292053     b2TestOverlap(b2AABB const&, b2AABB const&) [34]
                0.08    0.07 7201689/204292053     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [20]
                0.08    0.08 7840491/204292053     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [17]
                0.14    0.14 13116054/204292053     b2ContactSolver::InitializeVelocityConstraints() [13]
                0.31    0.30 28771620/204292053     b2ContactSolver::SolvePositionConstraints() [5]
                0.51    0.49 47560304/204292053     b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [6]
                0.92    0.90 86531491/204292053     b2ContactSolver::SolveVelocityConstraints() [1]
[3]     14.2    2.18    2.11 204292053         operator-(b2Vec2 const&, b2Vec2 const&) [3]
                2.11    0.00 204292053/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00      26/144091499     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00     639/144091499     b2Body::ResetMassData() [151]
                0.00    0.00    2550/144091499     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00    2992/144091499     b2Sweep::Advance(float) [153]
                0.00    0.00    3438/144091499     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [149]
                0.00    0.00    5972/144091499     b2Island::SolveTOI(b2TimeStep const&, int, int) [89]
                0.00    0.00    6030/144091499     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [146]
                0.00    0.00   12000/144091499     b2WeldJoint::InitVelocityConstraints(b2SolverData const&) [142]
                0.00    0.00   14000/144091499     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [140]
                0.00    0.00   26352/144091499     b2ContactSolver::SolveTOIPositionConstraints(int, int) [134]
                0.00    0.00   36000/144091499     b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [85]
                0.00    0.00   42000/144091499     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [84]
                0.00    0.00   57618/144091499     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [128]
                0.00    0.00   66000/144091499     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [130]
                0.00    0.00   96000/144091499     b2WeldJoint::SolveVelocityConstraints(b2SolverData const&) [111]
                0.00    0.00  112019/144091499     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [79]
                0.00    0.00  242080/144091499     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [80]
                0.00    0.00  291320/144091499     b2Simplex::GetClosestPoint() const [106]
                0.01    0.01  588906/144091499     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [41]
                0.01    0.01  706100/144091499     b2Sweep::GetTransform(b2Transform*, float) const [71]
                0.01    0.01 1297236/144091499     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [25]
                0.03    0.02 2316859/144091499     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [31]
                0.09    0.08 7840491/144091499     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [17]
                0.11    0.10 9706224/144091499     b2ContactSolver::WarmStart() [18]
                0.24    0.22 21578715/144091499     b2ContactSolver::SolvePositionConstraints() [5]
                1.10    1.02 99039932/144091499     b2ContactSolver::SolveVelocityConstraints() [1]
[4]     10.2    1.60    1.49 144091499         operator*(float, b2Vec2 const&) [4]
                1.49    0.00 144091499/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[5]      8.1    0.90    1.57                 b2ContactSolver::SolvePositionConstraints() [5]
                0.31    0.30 28771620/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.24    0.22 21578715/144091499     operator*(float, b2Vec2 const&) [4]
                0.34    0.00 28771620/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.10    0.00 7192905/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.06    0.00 7192905/41260163     float b2Min<float>(float, float) [24]
-----------------------------------------------
                                                 <spontaneous>
[6]      6.6    1.01    1.00                 b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [6]
                0.51    0.49 47560304/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[7]      6.1    1.84    0.00                 __x86.get_pc_thunk.bx [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      5.9    0.94    0.86                 b2Cross(float, b2Vec2 const&) [8]
                0.86    0.00 83253341/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00       1/70884126     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [180]
                0.00    0.00      52/70884126     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00     642/70884126     b2DynamicTree::CreateProxy(b2AABB const&, void*) [159]
                0.00    0.00    2010/70884126     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [146]
                0.00    0.00    3187/70884126     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00    3438/70884126     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [149]
                0.00    0.00    4022/70884126     b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [152]
                0.00    0.00   18000/70884126     b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [85]
                0.00    0.00   21000/70884126     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [84]
                0.00    0.00   48000/70884126     b2WeldJoint::SolveVelocityConstraints(b2SolverData const&) [111]
                0.00    0.00   56019/70884126     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [79]
                0.00    0.00   57618/70884126     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [128]
                0.00    0.00   66000/70884126     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [130]
                0.00    0.00  121112/70884126     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [80]
                0.00    0.00  145660/70884126     b2Simplex::GetClosestPoint() const [106]
